id,locality,type_of_property,subtype_of_property,type_of_sale,price,number_of_bedrooms,surface,fully_equipped_kitchen,furnished,open_fire,terrace,terrace_surface,garden,garden_surface,land_surface,number_of_facades,swimming_pool,state_of_the_building
10137972,Saint-Gilles,APARTMENT,FLAT_STUDIO,residential_sale,169000,0,None,None,0,0,0,None,0,None,None,,0,JUST_RENOVATED
10137629,Harelbeke,APARTMENT,APARTMENT,residential_sale,216000,2,94,None,0,0,1,None,0,None,None,,0,GOOD
10127025,Herenthout,APARTMENT,APARTMENT,residential_sale,229000,1,74,0,0,0,1,None,0,None,,3,0,
10137826,Oostende,APARTMENT,APARTMENT,residential_sale,285000,2,70,None,1,0,1,None,0,None,,2,0,GOOD
10136068,Woluwe-Saint-Pierre,APARTMENT,PENTHOUSE,residential_sale,1295000,3,210,1,0,0,1,None,0,None,None,,0,AS_NEW
10124361,Waregem,APARTMENT,APARTMENT,residential_sale,185000,2,90,0,0,0,1,None,0,None,None,4,0,
10124803,Nord-Est (Bruxelles),APARTMENT,GROUND_FLOOR,residential_sale,295000,1,65,0,1,0,0,None,0,None,None,3,0,
10124384,Schaerbeek,APARTMENT,APARTMENT,residential_sale,345000,2,91,0,0,0,1,None,0,None,None,,0,
10123655,Chaumont-Gistoux,APARTMENT,GROUND_FLOOR,residential_sale,445000,3,138,None,0,0,1,None,1,None,None,3,0,
10140816,Mont-sur-Marchienne,APARTMENT,APARTMENT,residential_sale,105000,1,55,0,0,0,1,None,0,None,,,0,GOOD
10140814,Liège,APARTMENT,APARTMENT,residential_sale,159000,2,106,0,0,0,0,None,0,None,None,2,0,TO_BE_DONE_UP
10142475,Diksmuide,APARTMENT,APARTMENT,residential_sale,169000,2,76,0,0,0,0,None,0,None,,3,0,GOOD
10140358,De Haan,APARTMENT,APARTMENT,residential_sale,290000,2,74,0,1,0,0,None,1,None,,,0,
10141645,Berchem,APARTMENT,GROUND_FLOOR,residential_sale,349000,3,None,1,0,0,0,None,0,None,,,0,GOOD
10141792,Bruxelles,APARTMENT,LOFT,residential_sale,645000,4,197,1,0,0,1,None,0,None,,,0,AS_NEW
10130465,Uccle,APARTMENT,PENTHOUSE,residential_sale,655000,3,130,0,0,0,1,None,0,None,,3,0,AS_NEW
10101757,Ixelles,APARTMENT,PENTHOUSE,residential_sale,695000,2,125,0,0,0,1,None,0,None,None,2,0,AS_NEW
10140448,Brasschaat,APARTMENT,APARTMENT,residential_sale,745000,4,286,0,0,1,1,None,0,None,,,0,AS_NEW
10129049,Gent,APARTMENT,FLAT_STUDIO,residential_sale,195000,1,38,0,0,0,0,None,0,None,,2,0,
10128072,Etterbeek,APARTMENT,FLAT_STUDIO,residential_sale,215000,0,42,0,0,0,1,None,0,None,None,,0,TO_BE_DONE_UP
10129050,Gent,APARTMENT,APARTMENT,residential_sale,225000,1,40,0,0,0,0,None,0,None,,2,0,
