post_code,type_of_property,subtype,price,construction_year,state,type_of_sale,bedrooms_count,habitable_surface,kitchen_type,furnished,fireplace,has_terrace,terrace_area,has_garden,garden_area,land_area,num_facade,swimmingpool
1050,HOUSE,HOUSE,599000.0,1920.0,TO_RENOVATE,Regular,4.0,190.0,SEMI_EQUIPPED,True,False,True,18.0,None,None,131.0,2.0,False
1150,HOUSE,HOUSE,650000.0,1928.0,TO_BE_DONE_UP,Regular,5.0,200.0,INSTALLED,False,False,True,15.0,True,110.0,220.0,2.0,False
1200,HOUSE,HOUSE,675000.0,1930.0,GOOD,Regular,4.0,250.0,HYPER_EQUIPPED,False,False,True,30.0,True,210.0,350.0,2.0,False
1780,HOUSE,HOUSE,695000.0,1974.0,AS_NEW,Regular,5.0,287.0,HYPER_EQUIPPED,False,False,True,40.0,True,510.0,661.0,4.0,False
2550,HOUSE,VILLA,699500.0,1984.0,AS_NEW,Regular,3.0,235.0,INSTALLED,False,True,True,8.0,True,656.0,799.0,4.0,False
1200,HOUSE,HOUSE,720000.0,1913.0,TO_RENOVATE,Regular,5.0,267.0,NOT_INSTALLED,False,False,True,2.0,True,45.0,176.0,2.0,False
1200,HOUSE,HOUSE,725000.0,1956.0,GOOD,Regular,4.0,320.0,INSTALLED,False,False,True,40.0,True,125.0,260.0,2.0,False
1150,HOUSE,HOUSE,729000.0,1955.0,AS_NEW,Regular,4.0,159.0,HYPER_EQUIPPED,False,False,True,15.0,True,80.0,240.0,3.0,False
1640,HOUSE,VILLA,735000.0,1974.0,GOOD,Regular,4.0,215.0,HYPER_EQUIPPED,False,False,True,None,True,700.0,951.0,4.0,True
1650,HOUSE,VILLA,735000.0,1974.0,GOOD,Regular,4.0,215.0,HYPER_EQUIPPED,False,False,True,None,True,700.0,951.0,4.0,True
1000,HOUSE,APARTMENT_BLOCK,750000.0,1982.0,TO_RENOVATE,Regular,11.0,350.0,SEMI_EQUIPPED,False,False,True,92.0,None,None,164.0,2.0,False
1000,HOUSE,HOUSE,795000.0,1930.0,GOOD,Regular,5.0,240.0,USA_INSTALLED,False,False,True,6.0,True,25.0,102.0,2.0,False
